Year,Month,Day,Hour,PM2.5,Temperature
2010,1,6,14,48,-9
2010,1,6,15,49,-8
2010,1,6,16,52,-8
2010,1,6,17,56,-9
2010,1,6,18,96,-9
2010,1,6,19,75,-14
2010,1,6,20,105,-12
2010,1,6,21,132,-14
2010,1,6,22,93,-16
2010,1,6,23,131,-16
2010,1,7,0,127,-16
2010,1,7,1,130,-16
2010,1,7,2,43,-18
2010,1,7,3,37,-15
2010,1,7,4,30,-16
2010,1,7,5,28,-15
2010,1,7,6,24,-15
2010,1,7,7,23,-13
2010,1,7,8,24,-14
2010,1,7,9,27,-12
2010,1,7,10,40,-11
2010,1,7,11,42,-10
2010,1,7,12,42,-9
2010,1,7,13,55,-8
2010,1,7,14,52,-7
2010,1,7,15,51,-7
2010,1,7,16,57,-8
2010,1,7,17,50,-9
2010,1,7,18,54,-11
2010,1,7,19,67,-11
2010,1,7,20,106,-15
2010,1,7,21,159,-14
2010,1,7,22,198,-14
2010,1,7,23,190,-16
2010,1,8,0,210,-17
2010,1,8,1,195,-16
2010,1,8,2,275,-16
2010,1,8,3,164,-15
2010,1,8,4,110,-15
2010,1,8,5,100,-15
2010,1,8,6,81,-15
2010,1,8,7,71,-13
2010,1,8,8,66,-12
2010,1,8,9,92,-12
2010,1,8,10,135,-10
2010,1,8,11,155,-10
2010,1,8,12,198,-9
2010,1,8,13,250,-8
2010,1,8,14,200,-8
2010,1,8,15,231,-8
2010,1,8,16,250,-8
2010,1,8,17,212,-8
2010,1,8,18,219,-9
2010,1,8,19,227,-11
2010,1,8,20,226,-12
2010,1,8,21,225,-14
2010,1,8,22,168,-9
2010,1,8,23,169,-11
2010,1,9,0,165,-13
2010,1,9,1,159,-13
2010,1,9,2,167,-14
2010,1,9,3,196,-15
2010,1,9,4,169,-13
2010,1,9,5,155,-16
2010,1,9,6,119,-15
2010,1,9,7,106,-15
2010,1,9,8,93,-14
2010,1,9,9,84,-9
2010,1,9,10,73,-7
2010,1,9,11,66,-6
2010,1,9,12,40,-6
2010,1,9,13,49,-5
2010,1,9,14,50,-4
2010,1,9,15,49,-4
2010,1,9,16,41,-4
2010,1,9,17,37,-4
2010,1,9,18,45,-7
2010,1,9,19,44,-6
2010,1,9,20,,-7
2010,1,9,21,50,-6
2010,1,9,22,47,-8
2010,1,9,23,66,-8
2010,1,10,0,75,-11
2010,1,10,1,82,-13
2010,1,10,2,66,-12
2010,1,10,3,83,-13
2010,1,10,4,62,-14
2010,1,10,5,40,-13
2010,1,10,6,23,-13
2010,1,10,7,25,-14
2010,1,10,8,27,-14
2010,1,10,9,35,-12
2010,1,10,10,50,-7
2010,1,10,11,70,-7
2010,1,10,12,75,-7
2010,1,10,13,58,-6
2010,1,10,14,70,-6
2010,1,10,15,68,-5
2010,1,10,16,71,-5
2010,1,10,17,88,-6
2010,1,10,18,84,-7
2010,1,10,19,83,-6
2010,1,10,20,66,-6
2010,1,10,21,27,-4
2010,1,10,22,24,-4
2010,1,10,23,22,-5
2010,1,11,0,23,-6
2010,1,11,1,27,-8
2010,1,11,2,23,-11
2010,1,11,3,17,-11
2010,1,11,4,17,-11
2010,1,11,5,16,-12
2010,1,11,6,16,-12
2010,1,11,7,20,-13
2010,1,11,8,20,-9
2010,1,11,9,18,-10
2010,1,11,10,25,-9
2010,1,11,11,26,-9
2010,1,11,12,27,-6
2010,1,11,13,28,-5
2010,1,11,14,15,-5
2010,1,11,15,24,-5
2010,1,11,16,13,-5
2010,1,11,17,13,-5
2010,1,11,18,13,-7
2010,1,11,19,17,-7
2010,1,11,20,20,-8
2010,1,11,21,27,-10
2010,1,11,22,20,-13
2010,1,11,23,15,-12
2010,1,12,0,21,-15
2010,1,12,1,21,-14
2010,1,12,2,37,-14
2010,1,12,3,26,-18
2010,1,12,4,15,-13
2010,1,12,5,9,-14
2010,1,12,6,11,-14
2010,1,12,7,11,-12
2010,1,12,8,16,-14
2010,1,12,9,13,-12
2010,1,12,10,15,-11
2010,1,12,11,21,-11
2010,1,12,12,24,-11
2010,1,12,13,22,-11
2010,1,12,14,22,-11
2010,1,12,15,22,-11
2010,1,12,16,19,-11
2010,1,12,17,23,-11
2010,1,12,18,,-11
2010,1,12,19,25,-11
2010,1,12,20,31,-12
2010,1,12,21,25,-12
2010,1,12,22,22,-12
2010,1,12,23,22,-12
2010,1,13,0,15,-12
2010,1,13,1,16,-12
2010,1,13,2,11,-12
2010,1,13,3,11,-13
2010,1,13,4,12,-12
2010,1,13,5,11,-12
2010,1,13,6,12,-12
2010,1,13,7,27,-12
2010,1,13,8,28,-12
2010,1,13,9,34,-11
2010,1,13,10,33,-10
2010,1,13,11,36,-9
2010,1,13,12,26,-8
2010,1,13,13,49,-6
2010,1,13,14,52,-5
2010,1,13,15,47,-5
2010,1,13,16,47,-5
2010,1,13,17,39,-7
2010,1,13,18,59,-8
2010,1,13,19,,-9
2010,1,13,20,96,-10
2010,1,13,21,95,-13
2010,1,13,22,68,-12
2010,1,13,23,65,-13
2010,1,14,0,75,-14
2010,1,14,1,257,-15
2010,1,14,2,174,-15
2010,1,14,3,164,-16
2010,1,14,4,161,-16
2010,1,14,5,137,-17
2010,1,14,6,92,-14
2010,1,14,7,64,-17
2010,1,14,8,87,-15
2010,1,14,9,87,-14
2010,1,14,10,84,-10
2010,1,14,11,95,-9
2010,1,14,12,79,-6
2010,1,14,13,75,-5
2010,1,14,14,,-5
2010,1,14,15,86,-4
2010,1,14,16,72,-4
2010,1,14,17,89,-5
2010,1,14,18,94,-3
2010,1,14,19,69,-3
2010,1,14,20,49,-4
2010,1,14,21,33,-5
2010,1,14,22,27,-6
2010,1,14,23,20,-6
2010,1,15,0,36,-7
2010,1,15,1,37,-8
2010,1,15,2,,-10
2010,1,15,3,,-10
2010,1,15,4,,-9
2010,1,15,5,,-9
2010,1,15,6,23,-9
2010,1,15,7,26,-9
2010,1,15,8,27,-8
2010,1,15,9,30,-8
2010,1,15,10,28,-7
2010,1,15,11,26,-6
2010,1,15,12,26,-5
2010,1,15,13,31,-4
2010,1,15,14,35,-3
2010,1,15,15,36,-3
2010,1,15,16,37,-2
2010,1,15,17,64,-5
2010,1,15,18,83,-6
2010,1,15,19,91,-6
2010,1,15,20,90,-6
2010,1,15,21,102,-8
2010,1,15,22,94,-10
2010,1,15,23,87,-11
2010,1,16,0,141,-11
2010,1,16,1,211,-13
2010,1,16,2,242,-12
2010,1,16,3,271,-13
2010,1,16,4,249,-12
2010,1,16,5,200,-10
2010,1,16,6,147,-10
2010,1,16,7,114,-11
2010,1,16,8,102,-11
2010,1,16,9,108,-9
2010,1,16,10,135,-9
2010,1,16,11,120,-6
2010,1,16,12,148,-5
2010,1,16,13,127,-4
2010,1,16,14,128,-3
2010,1,16,15,140,-3
2010,1,16,16,148,-3
2010,1,16,17,150,-4
2010,1,16,18,154,-7
2010,1,16,19,197,-7
2010,1,16,20,235,-8
2010,1,16,21,261,-9
2010,1,16,22,269,-11
2010,1,16,23,266,-11
2010,1,17,0,263,-12
2010,1,17,1,241,-11
2010,1,17,2,205,-11
2010,1,17,3,160,-12
2010,1,17,4,150,-12
2010,1,17,5,148,-10
2010,1,17,6,208,-11
2010,1,17,7,209,-10
2010,1,17,8,183,-10
2010,1,17,9,161,-8
2010,1,17,10,182,-6
2010,1,17,11,230,-5
2010,1,17,12,170,-4
2010,1,17,13,172,-3
2010,1,17,14,154,-1
2010,1,17,15,166,-1
2010,1,17,16,177,-1
2010,1,17,17,191,-3
2010,1,17,18,212,-5
2010,1,17,19,250,-6
2010,1,17,20,268,-7
2010,1,17,21,317,-7
2010,1,17,22,291,-9
2010,1,17,23,313,-9
2010,1,18,0,282,-10
2010,1,18,1,282,-11
2010,1,18,2,303,-9
2010,1,18,3,349,-10
2010,1,18,4,407,-11
2010,1,18,5,361,-11
2010,1,18,6,234,-11
2010,1,18,7,149,-11
2010,1,18,8,147,-11
2010,1,18,9,184,-6
2010,1,18,10,161,-5
2010,1,18,11,137,-3
2010,1,18,12,146,-1
2010,1,18,13,144,0
2010,1,18,14,154,1
2010,1,18,15,173,1
2010,1,18,16,188,1
2010,1,18,17,203,-1
2010,1,18,18,233,-2
2010,1,18,19,408,-3
2010,1,18,20,435,-2
2010,1,18,21,403,-1
2010,1,18,22,360,-1
2010,1,18,23,402,-1
2010,1,19,0,358,-1
2010,1,19,1,383,-1
2010,1,19,2,332,-1
2010,1,19,3,274,-1
2010,1,19,4,256,-1
2010,1,19,5,302,-1
2010,1,19,6,330,-1
2010,1,19,7,367,-1
2010,1,19,8,297,0
2010,1,19,9,331,0
2010,1,19,10,323,0
2010,1,19,11,339,1
2010,1,19,12,301,1
2010,1,19,13,310,1
2010,1,19,14,305,1
2010,1,19,15,313,2
2010,1,19,16,336,2
2010,1,19,17,357,2
2010,1,19,18,485,1
2010,1,19,19,426,2
2010,1,19,20,403,1
2010,1,19,21,374,0
2010,1,19,22,333,0
2010,1,19,23,343,1
2010,1,20,0,364,0
2010,1,20,1,389,-1
2010,1,20,2,368,-2
2010,1,20,3,267,-1
2010,1,20,4,71,1
2010,1,20,5,81,0
2010,1,20,6,51,2
2010,1,20,7,49,1
2010,1,20,8,44,0
2010,1,20,9,45,0
2010,1,20,10,35,1
2010,1,20,11,29,0
2010,1,20,12,27,0
2010,1,20,13,29,-1
2010,1,20,14,16,-1
2010,1,20,15,23,-1
2010,1,20,16,28,-1
2010,1,20,17,22,-2
2010,1,20,18,11,-3
2010,1,20,19,25,-4
2010,1,20,20,16,-3
2010,1,20,21,20,-4
2010,1,20,22,20,-4
2010,1,20,23,18,-5
2010,1,21,0,18,-6
2010,1,21,1,17,-6
2010,1,21,2,17,-7
2010,1,21,3,17,-8
2010,1,21,4,15,-8
2010,1,21,5,19,-9
2010,1,21,6,16,-9
2010,1,21,7,18,-9
2010,1,21,8,18,-8
2010,1,21,9,18,-8
2010,1,21,10,26,-7
2010,1,21,11,26,-7
2010,1,21,12,25,-5
2010,1,21,13,24,-5
2010,1,21,14,15,-4
2010,1,21,15,17,-3
2010,1,21,16,15,-2
2010,1,21,17,21,-2
2010,1,21,18,40,-2
2010,1,21,19,51,-3
2010,1,21,20,45,-3
2010,1,21,21,61,-8
2010,1,21,22,72,-9
2010,1,21,23,38,-9
2010,1,22,0,35,-6
2010,1,22,1,29,-4
2010,1,22,2,26,-5
2010,1,22,3,18,-6
2010,1,22,4,15,-7
2010,1,22,5,15,-7
2010,1,22,6,22,-7
2010,1,22,7,21,-7
2010,1,22,8,19,-7
2010,1,22,9,22,-5
2010,1,22,10,25,-4
2010,1,22,11,22,-4
2010,1,22,12,26,-3
2010,1,22,13,32,-3
2010,1,22,14,30,-2
2010,1,22,15,32,-2
2010,1,22,16,30,-2
2010,1,22,17,32,-2
2010,1,22,18,37,-3
2010,1,22,19,49,-5
2010,1,22,20,47,-4
2010,1,22,21,39,-4
2010,1,22,22,35,-4
2010,1,22,23,48,-7
2010,1,23,0,49,-4
2010,1,23,1,24,-8
2010,1,23,2,23,-5
2010,1,23,3,20,-6
2010,1,23,4,19,-5
2010,1,23,5,16,-6
2010,1,23,6,22,-7
2010,1,23,7,24,-7
2010,1,23,8,24,-6
2010,1,23,9,41,-2
2010,1,23,10,23,-1
2010,1,23,11,19,0
2010,1,23,12,15,1
2010,1,23,13,19,2
2010,1,23,14,17,2
2010,1,23,15,17,3
2010,1,23,16,22,3
2010,1,23,17,NA,2
2010,1,23,18,NA,1
2010,1,23,19,NA,0
2010,1,23,20,NA,0
2010,1,23,21,NA,-3
2010,1,23,22,NA,0
2010,1,23,23,NA,0
2010,1,24,0,NA,-2
2010,1,24,1,NA,-7
2010,1,24,2,NA,-8
2010,1,24,3,NA,-11
2010,1,24,4,NA,-9
2010,1,24,5,NA,-10
2010,1,24,6,NA,-12
2010,1,24,7,NA,-12
2010,1,24,8,NA,-13
2010,1,24,9,NA,-7
2010,1,24,10,NA,-4
2010,1,24,11,NA,0
2010,1,24,12,NA,4
2010,1,24,13,NA,5
2010,1,24,14,NA,5
2010,1,24,15,NA,5
2010,1,24,16,NA,5
2010,1,24,17,NA,3
2010,1,24,18,NA,1
2010,1,24,19,NA,-1
2010,1,24,20,NA,-2
2010,1,24,21,NA,-3
2010,1,24,22,NA,-4
2010,1,24,23,NA,-5
2010,1,25,0,NA,-5
2010,1,25,1,NA,-6
2010,1,25,2,NA,-6
2010,1,25,3,NA,-6
2010,1,25,4,NA,-6
2010,1,25,5,NA,-7
2010,1,25,6,NA,-7
2010,1,25,7,NA,-7
2010,1,25,8,NA,-6
2010,1,25,9,NA,-4
2010,1,25,10,NA,-3
2010,1,25,11,NA,-2
2010,1,25,12,NA,-1
2010,1,25,13,NA,1
2010,1,25,14,NA,2
2010,1,25,15,NA,2
2010,1,25,16,NA,2
2010,1,25,17,NA,1
2010,1,25,18,NA,-1
2010,1,25,19,NA,-1
2010,1,25,20,NA,-4
2010,1,25,21,NA,-1
2010,1,25,22,NA,-5
2010,1,25,23,NA,-3
2010,1,26,0,NA,-9
2010,1,26,1,NA,-8
2010,1,26,2,NA,-11
2010,1,26,3,NA,-12
2010,1,26,4,NA,-10
2010,1,26,5,NA,-10
2010,1,26,6,NA,-12
2010,1,26,7,NA,-10
2010,1,26,8,NA,-13
2010,1,26,9,NA,-8
2010,1,26,10,NA,-6
2010,1,26,11,NA,-3
2010,1,26,12,88,-1
2010,1,26,13,85,0
2010,1,26,14,90,1
2010,1,26,15,127,2
2010,1,26,16,144,1
2010,1,26,17,203,-1
2010,1,26,18,199,-3
2010,1,26,19,231,-3
2010,1,26,20,274,-5
2010,1,26,21,340,-6
2010,1,26,22,298,-5
2010,1,26,23,268,-4
2010,1,27,0,299,-4
2010,1,27,1,300,-3
2010,1,27,2,240,-4
2010,1,27,3,213,-4
2010,1,27,4,171,-3
2010,1,27,5,153,-4
2010,1,27,6,153,-5
2010,1,27,7,140,-4
2010,1,27,8,147,-3
2010,1,27,9,158,-1
2010,1,27,10,153,1
2010,1,27,11,154,3
2010,1,27,12,143,4
2010,1,27,13,90,6
2010,1,27,14,55,8
2010,1,27,15,52,8
2010,1,27,16,41,7
2010,1,27,17,29,7
2010,1,27,18,37,5
2010,1,27,19,49,4
2010,1,27,20,56,3
2010,1,27,21,38,3
2010,1,27,22,37,3
2010,1,27,23,28,0
2010,1,28,0,20,-1
2010,1,28,1,22,-1
2010,1,28,2,27,-1
2010,1,28,3,34,-2
2010,1,28,4,27,-2
2010,1,28,5,32,-3
2010,1,28,6,28,-3
2010,1,28,7,28,-3
2010,1,28,8,18,-3
2010,1,28,9,17,-2
2010,1,28,10,16,-2
2010,1,28,11,18,-1
2010,1,28,12,16,1
2010,1,28,13,12,1
2010,1,28,14,13,1
2010,1,28,15,23,1
2010,1,28,16,21,1
2010,1,28,17,13,0
2010,1,28,18,14,0
2010,1,28,19,23,-1
2010,1,28,20,16,-1
2010,1,28,21,25,-4
2010,1,28,22,20,-2
2010,1,28,23,25,-2
2010,1,29,0,19,-1
2010,1,29,1,24,-4
2010,1,29,2,25,-4
2010,1,29,3,20,-8
2010,1,29,4,24,-7
2010,1,29,5,17,-8
2010,1,29,6,10,-10
2010,1,29,7,11,-2
2010,1,29,8,16,-1
2010,1,29,9,20,1
2010,1,29,10,13,2
2010,1,29,11,12,3
2010,1,29,12,12,4
2010,1,29,13,12,5
2010,1,29,14,12,6
2010,1,29,15,31,6
2010,1,29,16,36,6
2010,1,29,17,42,5
2010,1,29,18,52,5
2010,1,29,19,26,5
2010,1,29,20,24,3
2010,1,29,21,25,3
2010,1,29,22,43,3
2010,1,29,23,47,3
2010,1,30,0,61,0
2010,1,30,1,66,0
2010,1,30,2,65,-1
2010,1,30,3,70,-2
2010,1,30,4,36,-1
2010,1,30,5,37,-4
2010,1,30,6,22,-5
2010,1,30,7,24,-5
2010,1,30,8,29,-6
2010,1,30,9,35,0
2010,1,30,10,35,3
2010,1,30,11,33,5
2010,1,30,12,32,6
2010,1,30,13,25,7
2010,1,30,14,16,7
2010,1,30,15,26,7
2010,1,30,16,32,7
2010,1,30,17,36,6
2010,1,30,18,37,5
2010,1,30,19,45,5
2010,1,30,20,71,4
2010,1,30,21,67,5
2010,1,30,22,69,2
2010,1,30,23,94,2
2010,1,31,0,85,1
2010,1,31,1,35,1
2010,1,31,2,26,-3
2010,1,31,3,24,-2
2010,1,31,4,20,0
2010,1,31,5,16,1
2010,1,31,6,18,0
2010,1,31,7,19,0
2010,1,31,8,22,0
2010,1,31,9,17,2
2010,1,31,10,18,3
2010,1,31,11,11,4
2010,1,31,12,11,5
2010,1,31,13,16,5
2010,1,31,14,18,6
2010,1,31,15,17,6
2010,1,31,16,19,5
2010,1,31,17,26,4
2010,1,31,18,24,1
2010,1,31,19,54,-1
2010,1,31,20,71,-1
2010,1,31,21,129,-1
2010,1,31,22,145,-2
2010,1,31,23,101,-2
2010,2,1,0,65,-3
2010,2,1,1,70,-4
2010,2,1,2,67,-4
2010,2,1,3,76,-4
2010,2,1,4,76,-4
2010,2,1,5,68,-5
2010,2,1,6,73,-4
2010,2,1,7,73,-4
2010,2,1,8,64,-6
2010,2,1,9,53,-3
2010,2,1,10,72,-2
2010,2,1,11,78,-1
2010,2,1,12,72,0
2010,2,1,13,56,0
2010,2,1,14,54,1
2010,2,1,15,40,0
2010,2,1,16,49,0
2010,2,1,17,63,-1
2010,2,1,18,66,-2
2010,2,1,19,64,-2
2010,2,1,20,63,-4
2010,2,1,21,65,-5
2010,2,1,22,64,-5
2010,2,1,23,64,-7
2010,2,2,0,62,-7
2010,2,2,1,56,-8
2010,2,2,2,87,-9
2010,2,2,3,72,-10
2010,2,2,4,104,-10
2010,2,2,5,97,-11
2010,2,2,6,96,-9
2010,2,2,7,86,-8
2010,2,2,8,85,-7
2010,2,2,9,92,-6
2010,2,2,10,55,-5
2010,2,2,11,36,-3
2010,2,2,12,27,-2
2010,2,2,13,25,-1
2010,2,2,14,28,0
2010,2,2,15,32,0
2010,2,2,16,35,1
2010,2,2,17,43,-2
2010,2,2,18,70,-4
2010,2,2,19,83,-3
2010,2,2,20,66,-6
2010,2,2,21,70,-7
2010,2,2,22,80,-5
2010,2,2,23,88,-8
2010,2,3,0,69,-8
2010,2,3,1,71,-8
2010,2,3,2,62,-10
2010,2,3,3,73,-10
2010,2,3,4,107,-12
2010,2,3,5,94,-13
2010,2,3,6,121,-13
2010,2,3,7,132,-11
2010,2,3,8,161,-11
2010,2,3,9,120,-8
2010,2,3,10,72,-4
2010,2,3,11,58,-2
2010,2,3,12,34,0
2010,2,3,13,14,1
2010,2,3,14,17,1
2010,2,3,15,15,2
2010,2,3,16,23,2
2010,2,3,17,34,1
2010,2,3,18,96,1
2010,2,3,19,87,0
2010,2,3,20,87,-4
2010,2,3,21,95,-5
2010,2,3,22,105,-6
2010,2,3,23,114,-7
2010,2,4,0,103,-7
2010,2,4,1,99,-8
2010,2,4,2,102,-9
2010,2,4,3,104,-10
2010,2,4,4,78,-10
2010,2,4,5,33,-12
2010,2,4,6,29,-12
2010,2,4,7,27,-15
2010,2,4,8,27,-10
2010,2,4,9,26,-5
2010,2,4,10,33,-3
2010,2,4,11,29,-2
2010,2,4,12,31,0
2010,2,4,13,28,1
2010,2,4,14,28,1
2010,2,4,15,61,1
2010,2,4,16,64,1
2010,2,4,17,80,0
2010,2,4,18,91,-4
2010,2,4,19,79,-3
2010,2,4,20,48,-3
2010,2,4,21,59,-5
2010,2,4,22,82,-3
2010,2,4,23,63,-4
2010,2,5,0,48,-4
2010,2,5,1,54,-4
2010,2,5,2,42,-4
2010,2,5,3,47,-5
2010,2,5,4,87,-5
2010,2,5,5,105,-6
2010,2,5,6,90,-7
2010,2,5,7,101,-7
2010,2,5,8,126,-6
2010,2,5,9,114,-5
2010,2,5,10,103,-4
2010,2,5,11,114,-3
2010,2,5,12,100,-2
2010,2,5,13,72,-1
2010,2,5,14,68,-1
2010,2,5,15,72,-1
2010,2,5,16,71,-1
2010,2,5,17,80,-2
2010,2,5,18,70,-4
2010,2,5,19,63,-4
2010,2,5,20,67,-5
2010,2,5,21,62,-5
2010,2,5,22,69,-6
2010,2,5,23,58,-6
2010,2,6,0,51,-7
2010,2,6,1,51,-8
2010,2,6,2,54,-8
2010,2,6,3,45,-8
2010,2,6,4,47,-7
2010,2,6,5,85,-7
2010,2,6,6,78,-7
2010,2,6,7,68,-7
2010,2,6,8,64,-7
2010,2,6,9,65,-6
2010,2,6,10,80,-5
2010,2,6,11,74,-4
2010,2,6,12,93,-3
2010,2,6,13,77,-3
2010,2,6,14,67,-2
2010,2,6,15,84,-2
2010,2,6,16,77,-2
2010,2,6,17,83,-2
2010,2,6,18,82,-3
2010,2,6,19,100,-3
2010,2,6,20,189,-4
2010,2,6,21,99,-5
2010,2,6,22,71,-5
2010,2,6,23,43,-5
2010,2,7,0,64,-5
2010,2,7,1,68,-5
2010,2,7,2,69,-5
2010,2,7,3,65,-5
2010,2,7,4,71,-6
2010,2,7,5,77,-6
2010,2,7,6,81,-6
2010,2,7,7,88,-6
2010,2,7,8,90,-5
2010,2,7,9,92,-5
2010,2,7,10,88,-4
2010,2,7,11,80,-4
2010,2,7,12,100,-3
2010,2,7,13,105,-3
2010,2,7,14,118,-3
2010,2,7,15,125,-2
2010,2,7,16,141,-2
2010,2,7,17,152,-3
2010,2,7,18,164,-4
2010,2,7,19,147,-5
2010,2,7,20,162,-5
2010,2,7,21,157,-4
2010,2,7,22,156,-3
2010,2,7,23,160,-5
2010,2,8,0,178,-4
2010,2,8,1,187,-5
2010,2,8,2,181,-6
2010,2,8,3,185,-6
2010,2,8,4,197,-5
2010,2,8,5,180,-4
2010,2,8,6,172,-4
2010,2,8,7,166,-4
2010,2,8,8,136,-4
2010,2,8,9,133,-3
2010,2,8,10,140,-2
2010,2,8,11,159,-1
2010,2,8,12,169,0
2010,2,8,13,170,2
2010,2,8,14,184,4
2010,2,8,15,163,5
2010,2,8,16,140,4
2010,2,8,17,144,3
2010,2,8,18,166,1
2010,2,8,19,196,0
2010,2,8,20,227,-1
2010,2,8,21,210,-2
2010,2,8,22,233,-2
2010,2,8,23,258,-3
2010,2,9,0,247,-3
2010,2,9,1,230,-3
2010,2,9,2,273,-4
2010,2,9,3,253,-3
2010,2,9,4,254,-5
2010,2,9,5,241,-5
2010,2,9,6,229,-4
2010,2,9,7,199,-4
2010,2,9,8,193,-3
2010,2,9,9,207,1
2010,2,9,10,176,2
2010,2,9,11,91,3
2010,2,9,12,58,4
2010,2,9,13,39,4
2010,2,9,14,50,5
2010,2,9,15,51,4
2010,2,9,16,49,4
2010,2,9,17,54,3
2010,2,9,18,153,2
2010,2,9,19,181,2
2010,2,9,20,181,0
2010,2,9,21,182,-1
2010,2,9,22,156,1
2010,2,9,23,27,1
2010,2,10,0,16,0
2010,2,10,1,22,0
2010,2,10,2,21,-1
2010,2,10,3,6,-1
2010,2,10,4,8,-2
2010,2,10,5,8,-2
2010,2,10,6,8,-3
2010,2,10,7,10,-3
2010,2,10,8,9,-4
2010,2,10,9,20,-4
2010,2,10,10,14,-3
2010,2,10,11,16,-2
2010,2,10,12,14,-1
2010,2,10,13,10,0
2010,2,10,14,7,0
2010,2,10,15,8,0
2010,2,10,16,12,0
2010,2,10,17,15,-1
2010,2,10,18,8,-1
2010,2,10,19,11,-1
2010,2,10,20,18,-2
2010,2,10,21,16,-2
2010,2,10,22,11,-2
2010,2,10,23,10,-3
2010,2,11,0,11,-3
2010,2,11,1,10,-3
2010,2,11,2,10,-3
2010,2,11,3,12,-4
2010,2,11,4,12,-4
2010,2,11,5,10,-5
2010,2,11,6,10,-5
2010,2,11,7,9,-6
2010,2,11,8,9,-5
2010,2,11,9,11,-4
2010,2,11,10,12,-4
2010,2,11,11,12,-3
2010,2,11,12,12,-3
2010,2,11,13,21,-2
2010,2,11,14,18,-2
2010,2,11,15,13,-2
2010,2,11,16,18,-2
2010,2,11,17,17,-2
2010,2,11,18,19,-3
2010,2,11,19,22,-3
